state,avg_severity,avg_humidity,avg_temperature,avg_pressure,avg_visibility,avg_wind_speed
CO,2.4750113,45.48057,55.66976,24.15411,9.8204565,7.8770404
CT,2.671515,65.57889,58.183617,29.917679,8.948759,8.243209
IA,2.5343766,68.239914,53.613895,29.560186,8.92512,10.828387
KS,2.6325758,66.79412,57.79431,29.002651,8.645971,9.141635
MD,2.4993749,69.33838,58.69815,29.989378,8.906895,7.1397953
NH,2.2491467,70.33562,52.44471,29.623722,8.495052,6.7895813
NM,2.2725968,41.643627,61.340534,24.687511,9.835493,7.542177
NY,2.441249,65.295166,56.84152,29.917032,9.097125,9.157112
WV,2.9550562,74.34091,60.73708,29.378653,8.44045,6.2101264
AR,2.2953157,80.06148,55.7955,29.602781,8.710634,6.158763
AZ,2.1788392,36.416954,72.901825,28.101202,9.868077,6.347987
DC,2.120887,72.082214,57.890186,29.99715,9.15447,7.098019
MA,2.1968658,68.79007,54.344933,29.93617,8.825682,8.872606
MO,2.7120237,67.9713,60.33722,29.478477,9.006725,8.43178
ND,2.25,60.0,40.0,28.45,6.8333335,17.0
OR,2.300752,74.40609,52.22943,29.286062,8.776671,5.7458887
RI,2.5722191,69.02014,56.462097,29.891186,8.784336,9.287999
SD,2.0,82.5,60.0,28.29,10.0,9.5
AL,2.213839,69.05489,69.55428,29.572977,9.135674,5.7456155
DE,1.9124138,71.64865,59.070408,29.98025,9.009973,7.623397
FL,2.2531023,74.827065,74.978714,30.042118,9.432201,7.7236395
NV,2.0690477,46.97596,54.563103,25.458565,9.161836,5.9746222
PA,2.175829,68.7233,57.243008,29.788967,8.8656845,7.4107537
KY,2.361837,70.58415,62.736362,29.320328,8.873703,7.069469
MN,2.0633204,72.935616,49.069836,28.954891,8.815025,7.886198
SC,1.983662,70.48346,66.10615,29.504227,9.078413,5.393089
WY,3.5714285,44.857143,55.857143,23.627144,8.714286,19.857143
CA,2.3946357,60.592487,65.9181,29.842106,9.205998,7.2712765
NJ,2.3576183,64.334404,59.08837,29.981483,8.984686,8.331526
TX,2.2723622,64.12975,73.14747,29.834217,9.380375,8.761542
WI,2.4853594,69.07249,52.157272,29.142838,8.88908,8.158818
NE,2.1357546,64.184555,60.540524,29.868458,9.417117,9.666802
UT,2.308928,50.15235,57.362564,25.551958,9.271304,7.6128902
VT,2.52809,74.59091,48.409092,29.347273,7.7647057,5.7906976
GA,2.6182158,66.317406,67.91502,29.721556,9.197756,6.8233376
MI,2.351134,70.83797,53.21186,29.760239,8.71489,9.587037
WA,2.3686006,73.6457,54.330048,29.869234,9.217895,7.0206213
ID,2.7096775,67.870964,47.677418,27.254839,8.966666,6.5
IL,2.3275847,69.03326,57.4273,29.650494,9.058416,9.635795
OK,1.8764209,58.476166,65.893875,28.83136,9.561606,10.827275
TN,2.2522905,67.019966,63.4958,29.394985,9.127372,6.3166265
VA,2.4641426,70.131355,60.818848,29.824808,9.201879,7.007584
IN,2.6222324,74.13106,58.845573,29.206116,9.031253,7.3481646
ME,2.674107,73.51121,57.17937,29.765247,8.547085,7.542601
LA,2.1905603,76.6736,72.43711,29.970692,9.181953,6.581008
OH,2.379085,70.91697,57.21649,29.51473,8.8358555,8.810363
MS,2.543668,73.72907,68.11551,29.795319,9.107379,6.3439913
MT,3.2,67.6,43.4,26.578001,10.0,9.6
NC,2.056209,65.70583,66.93767,29.368528,9.273976,6.175232
